"Country","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","Active Cases","Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,"Total Tests",Tests/1M pop,CASES per Test,Death in Closed Cases,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases 
World,"22,849,844.00","267,351.00","796,376.00","6,186.00","15,508,345.00","6,545,123.00","61,822.00","2,931.00",102.2,,,,4.88%,,52,80,61
USA,"5,746,272.00","45,341.00","177,424.00","1,090.00","3,095,484.00","2,473,364.00","16,817.00","17,346.00",536,"73,868,332.00","222,984.00","331,272,237",5.42%,19,10,8,53
Brazil,"3,505,097.00","44,684.00","112,423.00","1,234.00","2,653,407.00","739,267.00","8,318.00","16,474.00",528,"13,748,152.00","64,616.00","212,768,400",4.06%,71,11,10,82
India,"2,904,329.00","68,507.00","54,975.00",981,"2,157,941.00","691,413.00","8,944.00","2,102.00",40,"32,661,252.00","23,636.00","1,381,863,561",2.48%,123,87,90,121
Russia,"942,106.00","4,785.00","16,099.00",110,"755,513.00","170,494.00","2,300.00","6,455.00",110,"33,500,000.00","229,541.00","145,943,309",2.09%,17,49,39,140
South Africa,"599,940.00","3,880.00","12,618.00",195,"497,169.00","90,153.00",539,"10,098.00",212,"3,480,283.00","58,581.00","59,410,167",2.48%,82,30,20,123
Peru,"567,059.00","8,639.00","27,034.00",200,"380,730.00","159,295.00","1,519.00","17,166.00",818,"2,852,011.00","86,336.00","33,033,892",6.63%,58,3,9,38
Mexico,"537,031.00","5,792.00","58,481.00",707,"367,537.00","111,013.00","3,480.00","4,159.00",453,"1,211,552.00","9,383.00","129,117,943",13.73%,153,13,57,16
Colombia,"513,719.00","11,541.00","16,183.00",204,"339,124.00","158,412.00","1,493.00","10,081.00",318,"2,374,898.00","46,606.00","50,956,995",4.55%,91,20,21,65
Spain,"404,229.00","3,349.00","28,813.00",16,0,0,522,"8,645.00",616,"7,955,615.00","170,147.00","46,757,339",100.00%,29,5,25,1
Chile,"391,849.00","1,812.00","10,671.00",93,"366,063.00","15,115.00","1,077.00","20,474.00",558,"2,113,632.00","110,437.00","19,138,783",2.83%,48,9,5,110
Iran,"352,558.00","2,279.00","20,264.00",139,"304,236.00","28,058.00","3,869.00","4,190.00",241,"2,939,840.00","34,940.00","84,138,745",6.24%,108,25,56,41
UK,"322,280.00","1,182.00","41,403.00",6,0,0,70,"4,744.00",609,"15,177,265.00","223,407.00","67,935,641",100.00%,18,6,53,1
Argentina,"320,884.00","8,225.00","6,517.00",187,"233,651.00","80,716.00","1,832.00","7,091.00",144,"1,030,992.00","22,783.00","45,252,733",2.71%,127,40,33,113
Saudi Arabia,"303,973.00","1,287.00","3,548.00",42,"275,476.00","24,949.00","1,682.00","8,713.00",102,"4,501,104.00","129,021.00","34,886,672",1.27%,39,53,24,163
Pakistan,"290,958.00",513,"6,209.00",8,"272,804.00","11,945.00",725,"1,314.00",28,"2,363,752.00","10,673.00","221,460,187",2.23%,148,100,109,134
Bangladesh,"287,959.00","2,868.00","3,822.00",41,"168,991.00","115,146.00",,"1,746.00",23,"1,407,556.00","8,535.00","164,914,115",2.21%,156,107,95,135
Italy,"256,118.00",840,"35,418.00",6,"204,686.00","16,014.00",68,"4,237.00",586,"7,790,596.00","128,878.00","60,449,180",14.75%,40,7,55,12
Turkey,"254,520.00","1,412.00","6,058.00",19,"234,797.00","13,665.00",735,"3,013.00",72,"6,061,930.00","71,770.00","84,463,026",2.52%,65,63,79,119
Germany,"231,284.00","1,584.00","9,324.00",10,"204,800.00","17,160.00",231,"2,759.00",111,"10,197,366.00","121,656.00","83,821,481",4.35%,43,48,83,75
France,"229,814.00","4,771.00","30,480.00",12,"84,065.00","115,269.00",384,"3,520.00",467,"6,000,000.00","91,892.00","65,293,815",26.61%,56,12,70,8
Iraq,"192,797.00","3,995.00","6,208.00",87,"137,200.00","49,389.00",614,"4,779.00",154,"1,368,727.00","33,929.00","40,340,634",4.33%,110,38,52,76
Philippines,"177,579.00","3,896.00","2,881.00",86,"113,903.00","60,795.00",717,"1,618.00",26,"2,193,448.00","19,981.00","109,778,515",2.47%,129,101,99,124
Indonesia,"147,211.00","2,266.00","6,418.00",72,"100,674.00","40,119.00",,537,23,"1,969,941.00","7,192.00","273,918,933",5.99%,163,107,147,44
Canada,"123,873.00",383,"9,054.00",5,"110,288.00","4,531.00",61,"3,278.00",240,"4,974,215.00","131,636.00","37,787,666",7.59%,37,26,76,34
Qatar,"116,224.00",268,193,,"112,924.00","3,107.00",64,"41,393.00",69,"572,273.00","203,815.00","2,807,805",0.17%,23,65,1,191
Ecuador,"105,508.00","1,033.00","6,200.00",54,"87,660.00","11,648.00",331,"5,968.00",351,"297,376.00","16,821.00","17,679,078",6.61%,134,19,44,40
Bolivia,"105,050.00","2,031.00","4,233.00",61,"39,965.00","60,852.00",71,"8,983.00",362,"222,251.00","19,005.00","11,694,550",9.58%,130,16,23,25
Kazakhstan,"103,815.00",244,"1,415.00",,"86,450.00","15,950.00",221,"5,520.00",75,"2,291,327.00","121,832.00","18,807,256",1.61%,42,62,47,152
Israel,"99,599.00","1,630.00",795,14,"74,579.00","24,225.00",389,"10,829.00",86,"2,180,096.00","237,029.00","9,197,590",1.05%,16,57,19,169
Ukraine,"98,537.00","2,134.00","2,184.00",40,"50,441.00","45,912.00",177,"2,255.00",50,"1,356,698.00","31,049.00","43,695,861",4.15%,113,80,88,81
Egypt,"97,025.00",111,"5,212.00",15,"63,462.00","28,351.00",41,946,51,"135,000.00","1,316.00","102,590,466",7.59%,189,78,124,33
Dominican Republic,"89,010.00",883,"1,505.00",4,"57,734.00","29,771.00",288,"8,194.00",139,"335,478.00","30,883.00","10,862,806",2.54%,114,43,28,116
Sweden,"85,810.00",,"5,805.00",5,0,0,27,"8,489.00",574,"1,030,010.00","101,900.00","10,108,001",100.00%,53,8,26,1
China,"84,895.00",7,"4,634.00",,"79,745.00",516,24,59,3,"90,410,000.00","62,814.00","1,439,323,776",5.49%,77,169,199,52
Panama,"83,855.00",101,"1,844.00",17,"59,174.00","22,837.00",154,"19,393.00",426,"287,300.00","66,445.00","4,323,882",3.02%,69,14,6,101
Oman,"83,769.00",163,609,6,"78,386.00","4,774.00",151,"16,350.00",119,"309,212.00","60,353.00","5,123,430",0.77%,79,46,11,174
Belgium,"79,479.00",582,"9,969.00",10,"18,078.00","51,432.00",83,"6,854.00",860,"2,049,976.00","176,773.00","11,596,664",35.54%,27,2,34,6
Kuwait,"78,767.00",622,509,2,"70,642.00","7,616.00",94,"18,407.00",119,"577,588.00","134,980.00","4,279,075",0.72%,35,46,7,178
Romania,"74,963.00","1,346.00","3,154.00",48,"34,196.00","37,613.00",489,"3,900.00",164,"1,591,015.00","82,783.00","19,219,141",8.44%,60,35,61,28
Belarus,"69,950.00",149,627,5,"67,929.00","1,394.00",,"7,403.00",66,"1,437,110.00","152,093.00","9,448,882",0.91%,33,67,32,171
Guatemala,"65,983.00","1,102.00","2,506.00",39,"54,351.00","9,126.00",5,"3,674.00",140,"213,204.00","11,871.00","17,959,594",4.41%,146,42,67,72
UAE,"65,802.00",461,369,2,"58,153.00","7,280.00",,"6,642.00",37,"6,265,918.00","632,496.00","9,906,649",0.63%,7,89,37,183
Netherlands,"65,054.00",529,"6,191.00",10,0,0,51,"3,795.00",361,"1,312,787.00","76,591.00","17,140,202",100.00%,63,17,63,1
Poland,"59,378.00",767,"1,925.00",12,"40,481.00","16,972.00",85,"1,569.00",51,"2,409,394.00","63,672.00","37,840,722",4.54%,74,78,101,66
Japan,"58,501.00",951,"1,144.00",16,"45,266.00","12,091.00",237,463,9,"1,259,422.00","9,962.00","126,421,114",2.46%,152,137,154,125
Singapore,"56,099.00",68,27,0,"53,119.00","2,953.00",,"9,579.00",5,"1,745,928.00","298,108.00","5,856,690",0.05%,15,155,22,192
Portugal,"54,992.00",291,"1,788.00",2,"40,264.00","12,940.00",39,"5,395.00",175,"1,880,235.00","184,473.00","10,192,461",4.25%,26,34,49,80
Honduras,"52,298.00",628,"1,608.00",15,"7,867.00","42,823.00",43,"5,269.00",162,"127,946.00","12,890.00","9,925,734",16.97%,142,36,50,9
Nigeria,"50,964.00",476,992,7,"37,569.00","12,403.00",7,246,5,"352,625.00","1,705.00","206,802,324",2.57%,185,155,173,115
Bahrain,"48,303.00",353,179,1,"44,628.00","3,496.00",37,"28,265.00",105,"1,011,805.00","592,064.00","1,708,944",0.40%,8,51,3,188
Morocco,"47,638.00","1,325.00",775,32,"32,806.00","14,057.00",31,"1,289.00",21,"1,670,569.00","45,187.00","36,970,089",2.31%,94,111,110,129
Ghana,"43,260.00",166,261,5,"41,276.00","1,723.00",5,"1,388.00",8,"431,272.00","13,841.00","31,158,344",0.63%,141,141,106,184
Kyrgyzstan,"42,507.00",182,"1,498.00",0,"35,486.00","5,523.00",24,"6,501.00",229,"267,718.00","40,944.00","6,538,600",4.05%,101,28,38,83
Armenia,"42,319.00",263,836,3,"35,476.00","6,007.00",,"14,278.00",282,"190,560.00","64,291.00","2,964,022",2.30%,72,21,13,130
Algeria,"40,258.00",411,"1,411.00",9,"28,281.00","10,566.00",41,916,32,,,"43,956,407",4.75%,,96,126,64
Switzerland,"39,026.00",266,"1,998.00",2,"33,900.00","3,128.00",15,"4,505.00",231,"910,283.00","105,073.00","8,663,370",5.57%,50,27,54,51
Afghanistan,"37,856.00",257,"1,385.00",10,"27,681.00","8,790.00",31,970,35,"100,138.00","2,565.00","39,043,064",4.77%,180,92,120,62
Venezuela,"37,567.00",699,311,8,"26,330.00","10,926.00",85,"1,322.00",11,"1,678,639.00","59,056.00","28,424,431",1.17%,80,133,108,164
Uzbekistan,"37,547.00",435,252,4,"33,261.00","4,034.00",410,"1,120.00",8,"1,377,915.00","41,089.00","33,534,589",0.75%,100,141,114,177
Ethiopia,"35,836.00","1,778.00",620,20,"13,536.00","21,680.00",216,311,5,"694,093.00","6,018.00","115,332,992",4.38%,168,155,165,73
Azerbaijan,"34,759.00",139,510,,"32,511.00","1,738.00",,"3,424.00",50,"855,802.00","84,301.00","10,151,735",1.54%,59,80,74,154
Moldova,"31,937.00",522,921,7,"21,885.00","9,131.00",362,"7,920.00",228,"183,923.00","45,609.00","4,032,626",4.04%,93,29,30,84
Kenya,"31,441.00",426,516,10,"17,869.00","13,056.00",44,583,10,"398,585.00","7,391.00","53,926,571",2.81%,161,134,141,111
Costa Rica,"31,075.00",666,333,12,"9,939.00","20,803.00",128,"6,093.00",65,"126,337.00","24,769.00","5,100,508",3.24%,121,69,41,94
Serbia,"30,209.00",161,689,5,"27,908.00","1,612.00",52,"3,459.00",79,"842,441.00","96,474.00","8,732,325",2.41%,54,60,73,127
Nepal,"29,645.00",707,126,6,"17,964.00","11,555.00",,"1,015.00",4,"878,622.00","30,083.00","29,206,558",0.70%,116,162,118,179
Ireland,"27,676.00",129,"1,776.00",1,"23,364.00","2,536.00",6,"5,596.00",359,"735,598.00","148,747.00","4,945,309",7.06%,34,18,46,36
Austria,"24,431.00",347,729,,"21,093.00","2,609.00",21,"2,710.00",81,"1,061,437.00","117,760.00","9,013,539",3.34%,44,59,84,92
Australia,"24,236.00",243,463,13,"17,854.00","5,919.00",51,949,18,"5,507,605.00","215,645.00","25,540,177",2.53%,22,114,123,117
El Salvador,"23,964.00",247,640,7,"11,558.00","11,766.00",391,"3,692.00",99,"288,307.00","44,418.00","6,490,763",5.25%,96,55,66,57
Czechia,"21,045.00",247,406,2,"15,886.00","4,753.00",24,"1,965.00",38,"820,151.00","76,565.00","10,711,777",2.49%,64,88,91,120
Cameroon,"18,762.00",138,408,2,"16,540.00","1,814.00",30,705,15,"149,000.00","5,595.00","26,631,541",2.41%,170,125,133,128
Palestine,"17,989.00",383,120,1,"10,682.00","7,187.00",,"3,516.00",23,"214,862.00","41,991.00","5,116,888",1.11%,98,107,71,167
Ivory Coast,"17,249.00",17,112,1,"14,611.00","2,526.00",,652,4,"117,115.00","4,426.00","26,463,011",0.76%,175,162,138,175
Bosnia and Herzegovina,"17,029.00",338,515,8,"10,881.00","5,633.00",,"5,195.00",157,"168,861.00","51,515.00","3,277,873",4.52%,87,37,51,68
S. Korea,"16,346.00",288,307,1,"14,063.00","1,976.00",12,319,6,"1,734,083.00","33,819.00","51,275,415",2.14%,111,148,162,137
Denmark,"16,056.00",116,621,,"13,769.00","1,666.00",1,"2,771.00",107,"2,075,156.00","358,091.00","5,795,057",4.32%,14,50,81,77
Bulgaria,"14,962.00",142,532,5,"10,087.00","4,343.00",63,"2,156.00",77,"358,723.00","51,683.00","6,940,865",5.01%,86,61,89,59
Madagascar,"14,154.00",80,177,4,"13,038.00",939,83,509,6,"53,954.00","1,942.00","27,783,027",1.34%,183,148,150,161
